ZONE ,RED Right IN ,RED Left IN ,RED Expected Ghost Fact ,RED Right OUT ,RED Left OUT ,RED Right Calc GF ,RED Left Calc GF ,GRN Right IN ,GRN Left IN ,GRN Expected Ghost Fact ,GRN Right OUT ,GRN Left OUT ,GRN Right Calc GF ,GRN Left Calc GF ,BLU Right IN ,BLU Left IN ,BLU Expected Ghost Fact ,BLU Right OUT ,BLU Left OUT ,BLU Right Calc GF ,BLU Left Calc GF ,
0,3373,3142,490,3361,3130,500,466,2472,2891,4194,2379,2812,4216,4188,1231,910,8389,1173,832,8354,8305,
1,3373,3142,731,3355,3124,750,699,2472,2891,4325,2377,2810,4307,4294,1231,910,8520,1172,830,8498,8518,
2,3373,3142,662,3357,3125,667,660,2472,2891,4456,2374,2807,4443,4453,1231,910,8651,1171,829,8642,8624,
3,3373,3142,393,3364,3132,375,388,2472,2891,4588,2371,2805,4579,4559,1231,910,8782,1170,828,8786,8731,
4,3373,3142,524,3360,3129,542,505,2472,2891,4719,2368,2803,4715,4665,1231,910,8913,1169,827,8930,8837,
5,3373,3142,655,3357,3126,667,621,2472,2891,4850,2365,2800,4851,4825,1231,910,9044,1168,826,9074,8943,
6,3373,3142,786,3354,3122,792,777,2472,2891,4981,2362,2798,4987,4931,1231,910,9175,1167,824,9218,9156,
7,3373,3142,918,3351,3119,917,893,2472,2891,5112,2359,2795,5123,5090,1231,910,9306,1166,823,9362,9263,
8,3373,3142,1049,3348,3116,1042,1010,2472,2891,5243,2356,2793,5259,5196,1231,910,9437,1165,822,9506,9369,
9,3373,3142,1180,3345,3112,1168,1165,2472,2891,5374,2353,2790,5395,5355,1231,910,9568,1165,821,9506,9476,
10,3373,3142,1311,3342,3109,1293,1282,2472,2891,5505,2351,2788,5485,5461,1231,910,9699,1164,819,9650,9689,
11,3373,3142,1442,3338,3105,1460,1437,2472,2891,5636,2348,2785,5621,5620,1231,910,9830,1163,818,9794,9795,
12,3373,3142,1573,3335,3102,1585,1554,2472,2891,5767,2345,2783,5757,5726,1231,910,9961,1162,817,9938,9902,
13,3373,3142,1704,3332,3099,1710,1670,2472,2891,5898,2342,2780,5893,5885,1231,910,10093,1161,816,10082,10008,
14,3373,3142,1835,3329,3095,1835,1826,2472,2891,6029,2339,2778,6029,5991,1231,910,10224,1160,814,10226,10221,
15,3373,3142,1966,3326,3092,1960,1942,2472,2891,6160,2336,2775,6165,6150,1231,910,10355,1159,813,10370,10328,
16,3373,3142,2097,3323,3089,2085,2059,2472,2891,6291,2333,2773,6301,6256,1231,910,10486,1158,812,10514,10434,
17,3373,3142,2228,3320,3085,2210,2214,2472,2891,6423,2330,2770,6437,6415,1231,910,10617,1157,811,10658,10541,
18,3373,3142,2359,3316,3082,2377,2331,2472,2891,6554,2327,2768,6574,6521,1231,910,10784,1156,809,10802,10754,
19,3373,3142,2490,3313,3078,2502,2486,2472,2891,6685,2325,2765,6664,6680,1231,910,10879,1155,808,10946,10860,
20,3373,3142,2621,3310,3075,2628,2603,2472,2891,6816,2322,2763,6800,6786,1231,910,11010,1155,807,10946,10967,
21,3373,3142,2753,3307,3072,2753,2720,2472,2891,6947,2319,2760,6936,6945,1231,910,11141,1154,806,11090,11073,
22,3373,3142,2884,3304,3068,2878,2875,2472,2891,7078,2316,2758,7072,7052,1231,910,11272,1153,805,11234,11179,
23,3373,3142,3015,3301,3065,3003,2992,2472,2891,7209,2313,2756,7208,7158,1231,910,11403,1152,803,11378,11392,
24,3373,3142,3146,3298,3062,3128,3108,2472,2891,7340,2310,2753,7344,7317,1231,910,11534,1151,802,11522,11499,
25,3373,3142,3277,3294,3058,3295,3264,2472,2891,7471,2307,2751,7480,7423,1231,910,11665,1150,801,11666,11605,
26,3373,3142,3408,3291,3055,3420,3380,2472,2891,7602,2304,2748,7616,7582,1231,910,11796,1149,800,11810,11712,
